_key,_AndroidKey,_页面,_spma,_spmb,_spmc,_spmd,_args
Page_Home,MainActivity3,,,,,,
Page_AttentionDetail,FeedDetailActivity,,,,,,{'listparam':'${listparam}'}
Page_BuyerList,Page_BuyerList,,,,,,{'buyer_id':'买手id'}
Page_Detail,DetailActivity,,,,,,{'item_id':'${item_id}';'clickid':'${clickid}';'ad_type':'${ad_type}';'shop_id':'${shop_id}';'is_maidian':'${is_maidian}';'ref_wp_pk':'${ref_wp_pk}';'ref_wp_m':'${ref_wp_m}';'ref_wp_p':'${ref_wp_p}';'list_type':'${list_type}';'list_param':'${list_param}';'action':'${action}';'object_type':'${object_type}';'object_id':'${object_id}';'main_itemid':'${main_itemid}';'go_item_id':'${go_item_id}';'album':'${album}';'shop_action_id':'${action_id}';'nearby_nid':'${nid}';'ali_trackid':'${ali_trackid}';'gccpm':'${gccpm}';'mmtag':'${mmtag}';'pvid':'${pvid}'}
Page_Detail,http://detail.m.tmall.com/item.htm,,,,,,{'item_id':'${id}';'ad_type':'${ad_type}';'clickid':'${clickid}';'main_itemid':'${main_itemid}';'go_item_id':'${go_item_id}';'ali_trackid':'${ali_trackid}';'gccpm':'${gccpm}';'mmtag':'${mmtag}'}
Page_NearbyDetail,NearbyCouponDetailActivity,,,,,,{'searchSid':'${searchSid}'}
Page_Shop,Page_Shop,,,,,,{'shop_id':'${shop_id}';'seller_id':'${seller_id}';'seller_nick':'${seller_nick}';'clickid':'${clickid}';'ad_type':'${ad_type}';'list_type':'${list_type}';'list_param':'${list_param}';'action':'${action}';'object_id':'${object_id}';'object_type':'${object_type}';'ali_trackid':'${ali_trackid}';'gccpm':'${gccpm}';'mmtag':'${mmtag}'}
Page_WeApp,WeAppActivity,,,,,,{'user_id':'${user_id}';'seller_id':'${seller_id}';'shop_id':'${shop_id}';'clickid':'${clickid}';'ad_type':'${ad_type}';'seller_nick':'${seller_nick}';'list_type':'${list_type}';'list_param':'${list_param}';'action':'${action}';'object_type':'${object_type}';'object_id':'${object_id}';'ali_trackid':'${ali_trackid}'}
Page_Shop_Search,Page_Shop_Search,,,,,,{'ali_trackid':'${ali_trackid}';'mmtag':'${mmtag}'}
Page_WeApp,Page_WeApp,,,,,,{'ali_trackid':'${ali_trackid}';'mmtag':'${mmtag}'}
Page_Webview,BrowserActivity,,,,,,{'shop_id':'${shop_id}';'clickid':'${clickid}';'ad_type':'${ad_type}';'item_id':'${item_id}';'_ish5':'1'}
JuMain,[JuMainActivity|TabMainActivity|HomeTabActivity|HomeTabActivity.BoxPageFragment],聚划算-首页,a2141,7718928,0,0,
JuJRT,,聚划算-今日团,a2141,7718928,0,0,
JuSHT,,聚划算-生活团,a2141,7718929,0,0,
JuSHTCityChoose,SelectCityActivity,聚划算-生活团城市选择,a2141,7718930,0,0,
JuSHTCategoryChoose,LifeActivity,聚划算-生活团类目选择,a2141,7718931,0,0,
JuH5,[JuWindVaneActivity|JuWebViewActivity],聚划算-h5,a2141,7718932,0,0,
JuJT,JuTouActivity,聚划算-聚透,a2141,7718933,0,0,
JuSearch,SearchActivity,聚划算-搜索,a2141,7718934,0,0,
JuCollection,JuShouCangActivity,聚划算-聚收藏,a2141,7718935,0,0,